index,title,genres,story_line,cast,director
2035,Bajra Vs Burger,Comedy,"A small town guy decides to leave his simple life behind and move to the city to pursue his dream. However, events take a hilarious turn when he faced with struggles of city life. Will be ...       »","Sandeep Aurora,Michelle D'Alessandro Hatt,Satyananad Gaitonde,Satyanand Gaitonde",Raj Singh Verma
2036,5 Rupees,Drama,Hamid a seven-year-old is all excited about breaking his last day fast of Ramadan and celebrate Eid. His grandmother Ameena misses his 5-rupee coin which she saved as a gift for him as the event reveals the pure love.,"Kirron Arya,Shabana Azmi,Yohaan Panjuani",Piyush Panjuani
2037,Woh Adrakwali Chai,Drama,,"Alpesh Dixit,Leena Shah,Sanjay Sharma,Jay Upadhyay",Vijay Desai
2038,The Indian Post Graduate,Drama,"Sudheer, a young M.A degree holder, prepares for civil services and lives in Allahabad. He drops his studies due to economical crisis and moves to Mumbai to support his poor farmer father. Sudheer has been rejected from all interviews.","Shikhar Agrawal,Mukesh Agrohari,Ajay Arya,Shree Radhe Khanduja",Krishna Gopal
2039,Mudda hai Bhookh: The War,Drama,The film revolves around the fact that the mid-day meal facility provided by the Government for the primary schools are being misused by the officials and used for their personal benefit. ...       »,"Yash Baba,Utkarsh Bajpayee,Nikhil Bansal,Samarth Bansal",Mahmood Khan
2040,Delhi Mere Baap Ki,Thriller,,,Shashi PalStar:Pooja Thakur
2041,One Night Out,Thriller,"Three innocent teenager girls who go for a Night Out Party, subsequently get trap into a critical situation /tragedy.Finally , Police investigation takes places and a unbelievable fact come...       »","Kabina Maharjan,Gulshan Pandey,Javed Rizvi",Ravinddra Khare
2042,Pareshaan Parinda,"Action, Romance",Neel falls in love with a gangster's niece and things go bizarre when he finds himself getting involved with the underworld.,"Meeraj Shah,Sakshi Singh,Avtar Singh Bhullar,Sadia Nabila",Devesh Pratap Singh
2043,Aye Sanam Tere Liye,Romance,,,Iqbal Baksh
2044,Kya Tum,Drama,,"Anchal,Ansh,Aarav Mavi,Mahi",Deepak Kumar
2045,Dhappa,Crime,,"Varsha Manikchand Shrivastav,Vishal Anand,Jaya Bhattacharya,Raja Guru",Siddharth Nagar
2046,Bedaad,"Crime, Thriller","A bitter truth of society is ""What actually exist is not visible and whereas which is not visible does appear. Behind every successful person, there is someone, so is with Psycho, who is ...       »",,Anil Sharma
2047,Bhikhari the Billionaire,Family,"A young billionaire has to give up all his wealth, in order to save his ailing other who is on a death bed. He has to begs alms for a certain period and donate it to a Temple. How he goes through his journey as a beggar forms the climax""",,Dharam Panesar
2048,Sanam tera ishaq,Action,Film based on a triangle love story between Digvijay Suman and soniya. Diggi and soniya belongs to rich powerfull familes and there parents wants them to marry each other and soniya also in...       »,"Harshit Mathur,Sonam Thakur,Rakesh Kumawat,Anand Gangwar",Manoj Fogat
2049,Shaatiron Ka Shaatir Girgit,Action,,,Shravan Shugan
2050,Breakup,Romance,,"Sahil Akhtar,Kuwar Aziz,Sheetal Kale,Sunil Pal",Munna Rizvi
2051,Honey and Bunny the Secret Formula,"Action, Comedy","Mr Khanna's uncle develops a formula that erases the previous day's memory from a person's mind. However, chaos ensues after he is kidnapped by goons for the formula.","Dolly Lopes,Mubeen Saudagar",Yogesh Kawale
2052,Ilaaka Kishorganj,"Action, Thriller","Rooma comes to Ranchi from Sri Lanka, She stays in Kishoreganj at Raja's apartment. Raja is gangster who works for Tony. Tony too likes Roma but because of Raja he can not have her. But ...       »","Rohit R.K.,Shikha Swaroop,Deepak Lohar,Rupesh Charan Pahadi",J. Nutan Punkaj
2053,Yeh Hai Paranormal Ishq,Horror,,"Sameer Kapoor,Sneha Namanandi,Amit Pundir,Afreen Sidhu",Gulzar Bhatia
2054,Guru ji: Ahead of time,Biography,,,Sudipto Sen
2055,Dot - The Daughter,Drama,The movie gives a very compelling message to end the menace of female child feticide from our societies and to let all DOT (The Daughters) to flourish to be an important AANSH to build the beautiful world for future.,"Mahesh Ghag,Madhura Zende",Junaid Imam
2056,Kathor,Drama,"Neelkanth chaturvedi is 55 years old . He is about to retire in 2 years from the post of Constable from Bilaspur Central Jail. He has a small family, wife Jyoti and daughter Anu. Anu is his...       »","Lalit Parimoo,Sheetal Dimri,Abhisek Pandey,Durga Sarkar",Karan Kashyap
2057,Shaitaan: A Vision of Madness,Thriller,,"Aaryaman Pratap Kushwaha,Divjot Singh Jattana,Aryan Sharma",Nishaant Singh Bhinder
2058,Patna wale dulhaniya le jayenge,Family,,,SanjaStar:Kritn Ajitesh
2059,Nine Hours in Mumbai,Thriller,,"Sanjay Mishra,Adil Hussain,Gauahar Khan,Harsh Mayar",Raaj Rahhi
2060,Chhattisgarh - A Numismatic History,History,"Dr Bhanu Pratap Singh Is A Famous Coin Collector And Researcher , He Organize Exhibition On Coins To Spread Knowledge And Hobby Of Collecting to Students And General Public.He Organised An ...       »","Prachi Desai,Aaditya Pratap Singh,Bhanu Pratap Singh,Ritika Badiani",Bhanu Pratap Singh
2061,Mungerilal B Tech,"Action, Comedy, Drama",This film portrays the story of two college friends - Mungerilal and Pintu. Their college life throws various challenges and problems at them forcing them to walk on a very risky journey.,"Vikrant Anand,Chandani,Sonam Mishra,Ratan Rathore",Sanoj Mishra
2062,Inspector Gullu,Action,A Fight Between God Bad and Ugly in a Urban society. Innocence exploited by the mafia .,"Habib Al Aidroos,Adnan Sajid Khan,R.K. Mama,Aziz Naser",Aziz Naser
2063,I Am Not a Begger,Drama,,"Aditya Sharma,Paris Keswani,Ehsan Khan,Honey Sankwar",Vijay Pal
2064,Baanjh,Family,,"Usha Devi,Rajender Kashyap,Uttar Kumar,Madhu Malik",Dinesh Chaudhary
2065,Mr. Roadsing,Drama,,,J B Brothers
2066,Meri Shaan Hai Vardi,Drama,,"Sara Khan,Raza Murad,Rajesh Sharma",Raaja Thakur
2067,Jai Jambheshwaray Namh,Biography,,"Ravindra Bishnoi,Ravi Dehru,Mandeep Lambha",Ravi Dehru
2068,Tarana - The Black Story,Thriller,,"Vishal Malhotra,Urmay Rathod,Ruchika,Ankush Salgotra",Sanoj Mishra
2069,Shaheed- E- Aazam,Biography,,"Sibu Giri,Prashant Kumar,Rahul Pathak,Rudra Tiwari",Arun K. Pathak
2070,Spellbound,Mystery,""" The Best Criminals in the world and the biggest heist of their lives to make it happen one day."" A world famous smuggler Sherpa Kantia, is after a treasure buried in a Castle which is ...       »","Tapasya Agnihotri,Manoj Malhotra,Vicky Kapoor,Ramesh Malhotra",Dharam Panesar
2071,Madhav - Every Child Needs A Mentor,"Drama, Family",Madhav - Every Child Needs A Mentor is a Award Winning film at the Calcutta International Cult Film Festival (september 2018) for Best Debut Filmmaker and Best Family Film.,"Anil Kumar Mehta,Varsha Usgaonkar,Manohar Teli,Sarthak Joshi",Anil Kumar Mehta
2072,Hume Jeene Do,Drama,"Story of a village where people who love in the name of caste and religion are killed. In this village, there is a domineering man named Guddu who kills those who love low caste and rapes ...       »","Anugrah Agnihotri,Rahmat Ali,Shiv Kumar,Sunny Pal",Anugrah Agnihotri
2073,Lasafot,Drama,"LASAFOT is a story of a family of a mother, a handicap elder son, a rebel rowdy younger son that splits in one day and gets destroyed in trying to keep to save themselves and get their goals.","Muzahid Khan,Deepak Suryavanshi",Shitiz Srivastava
2074,Bhu Mafia,Drama,,"Ramesh Yadav,Devdutt Budholiya,Rajendra Dinesh Ramkrishna Sawant,Mohini Gupta",Sanjay Srivastav
2075,Aaya Hai Dulha Dulhan Le Jayega (AHDDLJ),"Family, Music, Musical","""This has 6 original songs and 5 remix songs""","Rucha Gujrati,Amit Agarwal",Dharmesh Tiwari
2076,Mazak Tha Bhai,Comedy,"Kashif Ali is an Indian TV artist and film actor. Who has mainly worked in TV serials and Bollywood films. background Kashif Ali was born on 11 July 1983 in Meerut, Uttar Pradesh. career ...       »","Kashif Ali Big Boss,Pooja Rajput Big Boss,Sonal Khatri,Pooja Rajput",Addan Khan
2077,Rudali,Drama,"in a society that oppresses women in more ways than one, this tale of a woman's zeal to defy her damning circumstances stands out. Sanichari, a resilient Dalit widow who fights against all ...       »","Usha Ganguli,Kalpana Thakur Jha,Senjuti Mukherjee,Yama Shroff",
2078,Vishapuram,Thriller,,,Srinivas Sandiri
2079,Shootout at etawah safari,Thriller,"Shootout At Etawah Safari is a 2018 Indian Hindi film, directed by S.S. Raja. The film stars Vineet Yadav, Sunny Raj, Aishlisha, Manoj Bakshi, Ali Khan lead roles. The film has musical score by Nitin Prakash Badal.",,Raja
2080,Uribo,"Drama, Family","Dheblu carrying the burdens of her dead husband along with her daughter Pokchi, are on their final journey to the mountains of Uribo. Alongside the story of Putum, a 9 year old earthquake survivor on a quest to find her lost family back.","Poonam Gurung,Ayush Allay,Dil Kumari Shrestha",Junaid Khalifa
2081,Bitiya,Drama,,"Aman Arora,Vandana Bhatia,Sneha Chakradhar,Mukesh Chhabda",
2082,Sargana,Crime,,"Shatakshi Gupta,Bobby Kumar,Rakesh Kumar,Vishwajeet Pradhan",Yogesh Bharadwaj
2083,Turtle (Kachhua),Drama,,"Amol Deshmukh,Sanjay Mishra,Ankit Anil Sharma",Dinesh S. Yadav
2084,Re HaiVaan,"Action, Adventure, Horror",A nearly-reformed psychopathic shooter with a history of violence is assigned to hunt down a psychopathic killer who's on the run and plans to flee the country.,,Achyut Prashast SinghStar:Achyut Prashast Singh
2085,Music Garage,Reality-TV,,,
2086,Bombay Nights,Drama,"Bombay Nights is an Independent Documentary revolving around the life of workers working in the streets of Bombay during Nights such as Idli sellers, Rag pickers, Sex workers, etc.",,Mukesh Kabir Kapoor
2087,Ye Hai Gudgudee Zindagi Ki,Comedy,,"Shefali Patel,Gehana Vasisth,Dillzan Wadia",Sandeep Solanki
2088,Lalluram,Drama,,"Newton Lukka,Ruchi Tiwari",Amol Dwivedi
2089,Trippy Trip,"Horror, Mystery, Thriller",Trippy Trip is based on different dimensions of life and what happens when different timelines clashes with each other. As time is an illusion. With the sound of the car put to a halt and ...       »,"Naveen Pandita,Sahil Padwal,Annie Gill,Miuruti Batkar",Sanket Verma
2090,Cant Stay Down,Sport,Profiling the community clubs around the world where combat sports are practiced as a way to engage youth and improve people's lives.,,Safura Ubaid
2091,Auto Rickshawala,Drama,,,Avi Sandhu
2092,The Joyous Nights of a Ridiculous Man,Drama,A story of three dispossessed people in the times rising communalism and right wing forces. It is an adaptation of Dostoevesky's and Premchand's short stories. The film is a minimalist and ...       »,,Sharad Raj
2093,Tu Rehna Mera,Romance,"Movie surrounds across a couple called Aditya and Rinkal who got separated during their colleges days five years ago due to some misunderstanding, later now their friends decide to meet ...       »","Saransh Taneja,Apurba Panda,Sonali Sharmistha Mohanty,Shibani Jena",
2094,Bandookraj,Comedy,,"Ashish Kotwal,Aditya Om",Aditya Om
2095,Do Writers ki Maut,Comedy,"Two writers, Salim and Javed, with fake names sent to isolated mountains by their producer Sippy to write for his next big blockbuster. The journey will make them realize what they want to write and what they're writing.","Dibyendu Bhattacharya,Taranjit Kaur,Priyanka Nath,Varun Singh Rajput",Tarun Raj
2096,Anurag Maurya Act,"Biography, Music",,"Anurag Maurya,Anurag Maurya,Ragini Maurya",
2097,Youth Future,Drama,,"Preet Jitpal,Victor John,Rupa Khurana",Balwant Singh Suri
2098,Shiksha,Drama,,"Ansh Kashyap,Astha Kashyap,Shakeel Khan,Akshay Singh",Ansh Kashyap
2099,EK Khukhar Jungle Wrong Way,Horror,,"Deva Bharadwaj,Rizwan Khan",Parveen Dagar
2100,Alibaba Aur 41 Chor,Animation,,,Soumitra Ranade
2101,His Memoir,"Action, Drama, Thriller",A white collar worker turns to violence upon being humiliated due to his writing with left hand.,,Achyut Prashast SinghStar:Achyut Prashast Singh
2102,Truth of Change,Drama,,,Prithvi SinghStar:Abhilash Narayan
2103,Sandra Beds Sandeep,"Comedy, Drama, Romance",A hard-to-tame housewife's roller coaster married life in a megacity.,"Rakesh Bedi,Ashutosh Patki,Ankush Deshmukh,Roaley Ryan",Prashant Rai
2104,Seelavathi,Thriller,,,Sai Raam Dasari
2105,Anmol Malik's Nirbhaya,Thriller,,,Anmol Malik
2106,Bombay Summer,"Adventure, Romance",,"Blué,Sachin Kumar Meena",Ranjeet Kumar
2107,Dil Maane Na,Romance,,"Bikramjeet Kanwarpal,Ramandeep Kaur,Ibra Khan,Sahil Khan",Sumeet Chawla
2108,Touttay,"Drama, History",This times it is not about Freedom of Speech but Freedom of Thought.,"Piyush Kumar,Ruchi Kadam,Raaj Singh,Anil Mishra",Shashank Shekhar Singh
2109,Battlefield Enforcement,"Action, Drama","After being turned down by the authorities, a young man aspiring to be a spy uses his intellect to kill an unknown enemy who is a threat to his city.",,Achyut Prashast SinghStar:Achyut Prashast Singh
2110,Out of Time,Comedy,,"Menaka Lalwani,Sahil Phull,Suyesha Sawant",Arijit Lahiri
2111,Naaku Manasundhe,Comedy,,,Rajasekhar
2112,Purush- Freedom of Choice,Comedy,,"Raja Chaudhary,Sachin Datta,Tarun Datta,Porav Sharma",Tarun Datta
2113,Honey Bunny and Doggy's Day Out,"Action, Comedy",,,Niloy Bishwas KantiStar:Mubeen Saudagar
2114,7th Villa,Horror,,"Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit",
2115,No mind,"Drama, Mystery",A road trip that goes wrong in the most abstract and tragic ways possible. The film is about an ordinary guy and how he finds himself amongst all the chaos and absurdity that this road trip...       »,"Prakhar Singh,Siwani Devkota,Meena Beni Singh",Chirag Desgiri
2116,Coco aka Fairy Tale,Music,,"Sapra,Isabela Valotti",Abhishek Chandra
2117,Ghar ka Raakshas by Deep Jyoti,Comedy,,,Ranjan MistryStar:Deep Jyoti
2118,Chirkut Chandan Ki Anokhi Prem Kahani,Romance,"A comedy short film set in a small north Indian city called Kanpur, depicting an innocent teenager boy trying desperately to make a girl friend.","Mradula Chauhan,Sadhna Chauhan,Harsh Dwivedi,Harsh Dwivedi",Rahul Deo Verma
2119,Pariwar ae babu,Drama,,"Madhu Singh Rajpoot,Dinesh Tiwari",Dhananjay Shing
2120,Sai Mahima,Horror,,"Jitendra Sharma,Amrinder Singh",Sukhvinder Sharma
2121,Khandar,Horror,,"Chahat,Khalid Shamim",Madhav Saxena Megzee
2122,Shohrat the Trap,Thriller,,"Mayank Agarwal,Avinash Baviskar,Anil Bhavnani,Kalpesh Chaudhari",Deepak Ramteke
2123,Turning Point,"Action, Drama, Musical",Turning Point is an upcoming Action/Musical/Drama Indian film Produced By Dinesh Ramana under his banner Pruthvi Film Industries And Directed by SudhirDurlabh Tandel And Written by Kirit ...       »,,Sudhir Durlabh Tandel
2124,Sirf 5 Din,Horror,"A supernatural horror film in which a woman attempts to help a man named Shanti an abuse victim, who he found chained up in a Lonavala bungalow .","Raj Babbar,Anuj Gill,Mahie Gill,Suchhi Kumar",V. Menon
2125,Andh: Let's Play Blind,Thriller,"Palak is normal but acts blind. She even works as Blind. When Netra meets Palak, he finds it difficult to trust her. What secrets is she hiding? He has no idea that she will change his life forever, in unimaginable ways.","Sweta Handoo,Vijay Shankar Sharma,Dalbir Singh",Vijay Shankar Sharma
2126,KHATA-Kaash Humse Na Hoti,Crime,"Raj Malhotra is a Business Tycoon in Mumbai He have two Children Raj and Mili, and Raj Have a Wife named Khushi Malhotra, Raj wants a House Keeper so Comes a Beautiful teenager Syla (Main ...       »",,Ajay Shukla
2127,Ek Ke Upar Do,"Comedy, Romance",,"Sheetal Kale,Girjesh Patel,Ashish Drall,Anamika Singh",S.R. Pratap
2128,Dansh,Drama,Dansh is a dark drama film which consists four different stories that represents the evergreen social issues of India.,"Ajay Dubey,Harsh Gupta,Gyanendra,Tauqeer Khan",
2129,Mahasangram,Thriller,,"Rajender Kashyap,Uttar Kumar,Divya Seth Shah,Rajiv Sirohi",Avnish Kumar Singh
2130,Yaar Berozgar by Abhinav Shekhar,Musical,,,Abhinav ShekharStar:Abhinav Shekhar
2131,Ek Kassh,"Drama, Sci-Fi","Ek Kassh (2018) is a Hindi Short Film written & Directed by Anugrah Agnihotri. This film is about how drugs is harmful for our health and society. Film Casting is Anugrah Agnihotri, Sunny Pal, Shiv Kumar, Vijendra Gotshe, etc.","Anugrah Agnihotri,Bhushan Chhabra,Vijender Gotshe,Shiv Kumar",Anugrah Agnihotri
